"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.642688553E0,-6.539312601E-1,5.742133409E-2,2.840523422E-2,6.570617626E-1
1.643564553E0,-6.539312601E-1,5.742133409E-2,2.840523422E-2,6.570617626E-1
1.652022553E0,-6.627888083E-1,6.750060618E-2,2.260201424E-2,6.666004706E-1
1.652984553E0,-6.627888083E-1,6.750060618E-2,2.260201424E-2,6.666004706E-1
1.661100553E0,-6.786713004E-1,4.520402849E-2,1.679879427E-2,6.803824937E-1
1.662003553E0,-6.786713004E-1,4.520402849E-2,1.679879427E-2,6.803824937E-1
1.670437553E0,-6.921103001E-1,3.543018550E-2,1.313360315E-2,6.931410080E-1
1.671311553E0,-6.921103001E-1,3.543018550E-2,1.313360315E-2,6.931410080E-1
1.679756553E0,-6.869179606E-1,5.222897977E-2,4.581489135E-3,6.889159172E-1
1.680654553E0,-6.869179606E-1,5.222897977E-2,4.581489135E-3,6.889159172E-1
1.689230553E0,-6.841690540E-1,6.811147183E-2,-8.246680722E-3,6.876005198E-1
1.690205553E0,-6.841690540E-1,6.811147183E-2,-8.246680722E-3,6.876005198E-1
1.698444553E0,-6.933320761E-1,6.322455406E-2,-2.382374369E-2,6.966163095E-1
1.699330553E0,-6.933320761E-1,6.322455406E-2,-2.382374369E-2,6.966163095E-1
1.707979553E0,-7.034113407E-1,4.184427112E-2,-1.771509275E-2,7.048774942E-1
1.708979553E0,-7.034113407E-1,4.184427112E-2,-1.771509275E-2,7.048774942E-1
1.717077553E0,-7.171558142E-1,4.184427112E-2,-1.802052557E-2,7.186015197E-1
1.717955553E0,-7.171558142E-1,4.184427112E-2,-1.802052557E-2,7.186015197E-1
1.726372553E0,-7.247915864E-1,-3.054326214E-2,-1.618792862E-2,7.256154516E-1
1.727320553E0,-7.247915864E-1,-3.054326214E-2,-1.618792862E-2,7.256154516E-1
1.735721553E0,-7.275404930E-1,-3.145955876E-2,-1.771509275E-2,7.284357881E-1
1.736599553E0,-7.275404930E-1,-3.145955876E-2,-1.771509275E-2,7.284357881E-1
1.745065553E0,-7.290676832E-1,-1.435533352E-2,-1.985312067E-2,7.294792038E-1
1.745978553E0,-7.290676832E-1,-1.435533352E-2,-1.985312067E-2,7.294792038E-1
1.754349553E0,-7.269296646E-1,1.863138936E-2,-1.802052557E-2,7.273916451E-1
1.755224553E0,-7.269296646E-1,1.863138936E-2,-1.802052557E-2,7.273916451E-1
1.763689553E0,-7.278459668E-1,2.901609987E-2,-2.015855350E-2,7.287029935E-1
1.764563553E0,-7.278459668E-1,2.901609987E-2,-2.015855350E-2,7.287029935E-1
1.772996553E0,-7.449501753E-1,3.176499158E-2,-2.962696366E-2,7.462154751E-1
1.773888553E0,-7.449501753E-1,3.176499158E-2,-2.962696366E-2,7.462154751E-1
1.782493553E0,-7.458664775E-1,5.619960278E-2,-3.543018550E-2,7.488194012E-1
1.783464553E0,-7.458664775E-1,5.619960278E-2,-3.543018550E-2,7.488194012E-1
1.791875553E0,-7.260133624E-1,8.796459436E-2,-3.145955876E-2,7.319992323E-1
1.792870553E0,-7.260133624E-1,8.796459436E-2,-3.145955876E-2,7.319992323E-1
1.801136553E0,-7.104362845E-1,9.132435173E-2,-3.451388702E-2,7.171130037E-1
1.802094553E0,-7.104362845E-1,9.132435173E-2,-3.451388702E-2,7.171130037E-1
1.810426553E0,-7.247915864E-1,7.910704613E-2,-4.276056588E-2,7.303487074E-1
1.811383553E0,-7.247915864E-1,7.910704613E-2,-4.276056588E-2,7.303487074E-1
1.819604553E0,-7.223481536E-1,7.177666575E-2,-3.940080851E-2,7.269739806E-1
